year,month,value,nominal,real
1992,1,441064,90.69,98.88
1992,2,443775,89.09,96.77
1992,3,442747,89.0,96.52
1992,4,427392,89.2,96.57
1992,5,441632,88.01,95.24
1992,6,453578,87.66,94.83
1992,7,451124,87.39,94.68
1992,8,460579,87.36,94.4
1992,9,436163,85.13,91.66
1992,10,429306,83.98,90.25
1992,11,453599,83.43,89.99
1992,12,431019,83.17,89.73
1993,1,417610,83.12,89.55
1993,2,442921,84.31,90.82
1993,3,448721,85.04,91.18
1993,4,456427,83.42,89.13
1993,5,456485,82.81,88.56
1993,6,452875,82.32,87.89
1993,7,459812,82.46,88.22
1993,8,466089,80.72,86.24
1993,9,466459,79.7,84.97
1993,10,474547,79.56,84.71
1993,11,457976,80.4,85.98
1993,12,476889,79.57,84.81
1994,1,470375,80.65,85.74
1994,2,454043,78.86,82.87
1994,3,483185,77.29,81.05
1994,4,486370,76.2,79.79
1994,5,493912,76.17,79.46
1994,6,504061,75.82,79.1
1994,7,507023,75.37,78.76
1994,8,511098,75.68,78.83
1994,9,516481,76.84,79.94
1994,10,526294,76.85,79.71
1994,11,523987,76.13,79.35
1994,12,522352,75.09,78.58
1995,1,536855,73.62,77.55
1995,2,507336,74.11,78.1
1995,3,529319,72.97,77.07
1995,4,550250,73.96,77.85
1995,5,540138,75.06,78.9
1995,6,535279,74.07,77.73
1995,7,539356,75.04,78.91
1995,8,553033,76.13,79.66
1995,9,562194,76.83,80.27
1995,10,567456,76.86,80.1
1995,11,574190,76.52,80.26
1995,12,581823,75.76,79.23
1996,1,523459,76.15,79.31
1996,2,557224,75.66,78.61
1996,3,594120,76.27,79.22
1996,4,589885,76.8,79.54
1996,5,589252,76.27,79.06
1996,6,598737,76.55,79.31
1996,7,592590,76.27,78.92
1996,8,585311,75.99,78.41
1996,9,588409,76.3,78.56
1996,10,592832,77.47,79.75
1996,11,578811,78.04,80.63
1996,12,515940,76.94,79.37
1997,1,583393,78.01,80.38
1997,2,586532,78.31,80.57
1997,3,585216,77.51,79.71
1997,4,599054,76.39,78.31
1997,5,616639,76.88,78.9
1997,6,613558,76.5,78.58
1997,7,622125,77.16,79.14
1997,8,622945,76.9,78.76
1997,9,615147,77.0,78.62
1997,10,613856,76.95,78.43
1997,11,632291,75.71,77.22
1997,12,632040,75.79,77.18
1998,1,619573,75.48,77.13
1998,2,631638,75.49,77.12
1998,3,625779,76.45,78.05
1998,4,624033,75.76,77.06
1998,5,629613,75.0,76.41
1998,6,646136,74.26,75.73
1998,7,638044,73.22,74.62
1998,8,689179,71.13,72.5
1998,9,684086,70.99,72.24
1998,10,690774,69.21,70.56
1998,11,679731,69.49,70.77
1998,12,686035,69.17,70.22
1999,1,714320,70.05,71.19
1999,2,700261,71.51,72.56
1999,3,692467,70.97,72.04
1999,4,700397,72.37,73.3
1999,5,689052,73.89,74.95
1999,6,664792,73.58,74.83
1999,7,679509,72.67,73.87
1999,8,673532,71.97,73.14
1999,9,684720,72.53,73.61
1999,10,687835,72.38,73.47
1999,11,715225,73.07,74.01
1999,12,667113,72.71,73.69
2000,1,665951,74.02,74.69
2000,2,691852,74.33,75.05
2000,3,712180,73.89,74.63
2000,4,723308,73.61,74.06
2000,5,725032,72.73,73.41
2000,6,706074,73.24,74.16
2000,7,707791,73.34,74.26
2000,8,693959,73.39,74.12
2000,9,714072,73.59,74.27
2000,10,709744,72.51,73.25
2000,11,737245,71.16,72.05
2000,12,694517,71.8,72.75
2001,1,732625,72.75,73.16
2001,2,738680,71.93,72.48
2001,3,759707,70.62,71.16
2001,4,761174,70.86,71.53
2001,5,742837,71.71,72.62
2001,6,716500,72.69,73.57
2001,7,719715,72.6,73.47
2001,8,723244,71.62,72.45
2001,9,598398,70.24,71.0
2001,10,564821,70.16,70.69
2001,11,606179,69.3,69.26
2001,12,648656,70.13,70.42
2002,1,666055,69.4,69.67
2002,2,669530,69.77,70.23
2002,3,660026,69.98,70.59
2002,4,659537,70.11,70.8
2002,5,661774,71.03,71.96
2002,6,666005,71.37,72.51
2002,7,658384,70.18,71.72
2002,8,656492,69.3,70.9
2002,9,647678,69.09,70.61
2002,10,683199,69.04,70.66
2002,11,675542,69.03,70.88
2002,12,666596,69.46,71.12
2003,1,688483,69.76,71.94
2003,2,665241,70.97,73.41
2003,3,604368,72.82,75.1
2003,4,577405,73.55,75.34
2003,5,558365,76.93,78.92
2003,6,581809,78.47,80.53
2003,7,591841,77.28,79.32
2003,8,616792,76.52,78.59
2003,9,603054,78.02,80.07
2003,10,611306,79.79,81.77
2003,11,616529,80.51,82.9
2003,12,620077,79.92,82.45
2004,1,603702,80.57,82.81
2004,2,639411,78.42,80.44
2004,3,633329,78.8,80.64
2004,4,628687,78.34,80.14
2004,5,617875,76.47,78.59
2004,6,619874,77.28,79.28
2004,7,617430,79.3,81.4
2004,8,612106,79.91,81.76
2004,9,618866,81.35,83.23
2004,10,617903,83.74,85.4
2004,11,620811,86.67,88.72
2004,12,617754,84.63,86.64
2005,1,605362,84.46,86.34
2005,2,619880,83.53,85.25
2005,3,601948,84.86,86.5
2005,4,604409,83.9,85.25
2005,5,616643,82.75,84.15
2005,6,607337,84.26,85.75
2005,7,607410,85.95,87.25
2005,8,595692,86.87,88.15
2005,9,602543,88.91,90.11
2005,10,589899,89.51,90.13
2005,11,583386,89.51,90.44
2005,12,590278,90.99,92.05
2006,1,569041,90.73,91.81
2006,2,567178,91.74,92.46
2006,3,579676,91.01,91.88
2006,4,583168,91.68,92.5
2006,5,568291,93.7,94.63
2006,6,576384,93.71,94.41
2006,7,582704,92.55,93.0
2006,8,573967,93.12,93.49
2006,9,571287,93.52,93.7
2006,10,574712,92.66,92.98
2006,11,542511,91.65,92.26
2006,12,557033,90.04,90.63
2007,1,555461,88.51,88.98
2007,2,552753,88.84,89.59
2007,3,556075,88.78,89.62
2007,4,548453,91.19,91.89
2007,5,564033,94.59,95.22
2007,6,564928,97.38,97.7
2007,7,555692,98.25,98.7
2007,8,554867,97.53,97.86
2007,9,550495,100.13,100.36
2007,10,536718,104.97,104.54
2007,11,522388,105.57,104.93
2007,12,514962,101.75,101.17
2008,1,514362,100.81,99.8
2008,2,507283,101.72,100.69
2008,3,501651,100.67,99.24
2008,4,489349,99.18,97.93
2008,5,519888,101.09,99.98
2008,6,514282,99.43,98.13
2008,7,505107,99.49,98.08
2008,8,495972,96.79,95.36
2008,9,501477,97.1,95.99
2008,10,493991,88.43,87.81
2008,11,497899,86.19,86.63
2008,12,447460,84.22,84.88
2009,1,468208,84.97,85.39
2009,2,480257,84.24,85.09
2009,3,477048,83.25,84.04
2009,4,471556,85.26,85.4
2009,5,505503,90.03,90.58
2009,6,478010,91.71,92.08
2009,7,471248,91.64,91.87
2009,8,474528,94.36,94.23
2009,9,463236,94.42,94.39
2009,10,440423,96.51,96.25
2009,11,436261,95.76,95.89
2009,12,441427,96.69,96.43
2010,1,494160,98.0,97.74
2010,2,677256,97.37,97.44
2010,3,514760,100.61,100.06
2010,4,515322,102.69,102.12
2010,5,497974,100.28,100.09
2010,6,492451,100.8,100.59
2010,7,500991,99.35,99.78
2010,8,500384,99.23,99.41
2010,9,493983,99.47,99.72
2010,10,510438,99.88,100.27
2010,11,496046,100.69,101.04
2010,12,497055,101.63,101.74
2011,1,491801,102.76,102.7
2011,2,483567,103.03,102.75
2011,3,481637,103.83,103.78
2011,4,494598,105.36,104.94
2011,5,503630,104.18,104.12
2011,6,503992,103.06,102.48
2011,7,503399,105.32,104.8
2011,8,496975,102.39,102.17
2011,9,501358,101.11,101.25
2011,10,493201,99.48,100.0
2011,11,502539,99.16,99.87
2011,12,509202,99.82,100.02
2012,1,492350,100.97,101.16
2012,2,509349,102.14,102.09
2012,3,503265,102.81,102.41
2012,4,507821,102.87,102.75
2012,5,491131,101.5,101.65
2012,6,489606,100.1,100.05
2012,7,487326,101.6,101.37
2012,8,496573,103.51,102.96
2012,9,495288,104.42,103.49
2012,10,499639,103.48,102.67
2012,11,492945,102.65,102.02
2012,12,498712,103.19,102.0
2013,1,498387,103.05,101.74
2013,2,501540,101.65,100.82
2013,3,505231,100.66,99.54
2013,4,494968,101.36,99.98
2013,5,499825,101.32,100.08
2013,6,521156,100.04,98.95
2013,7,524933,99.32,98.24
2013,8,526262,98.99,97.86
2013,9,519399,99.4,98.3
2013,10,504177,98.87,97.7
2013,11,530269,97.98,96.92
2013,12,508420,96.48,95.11
2014,1,524262,94.11,92.99
2014,2,512476,92.89,92.26
2014,3,517789,92.27,91.59
2014,4,520858,93.17,92.4
2014,5,535427,94.01,93.41
2014,6,535250,94.62,93.95
2014,7,531513,95.59,94.84
2014,8,539773,94.17,93.54
2014,9,540277,94.16,93.47
2014,10,550181,92.75,92.37
2014,11,530347,92.44,92.08
2014,12,558556,91.19,90.84
2015,1,555170,87.8,87.83
2015,2,560660,84.94,85.45
2015,3,557552,84.92,85.6
2015,4,563250,86.49,86.96
2015,5,583929,87.47,88.12
2015,6,595592,86.25,86.93
2015,7,584124,83.26,84.17
2015,8,582241,81.4,82.51
2015,9,574235,80.56,81.67
2015,10,576611,81.62,82.73
2015,11,591837,80.99,82.17
2015,12,603216,78.31,79.38
2016,1,619330,75.64,77.14
2016,2,637176,77.53,79.26
2016,3,642435,80.66,82.4
2016,4,657618,82.73,84.46
2016,5,632022,82.21,84.17
